TRANS_ID,LOCATION_ID,TRANS_DATE,CUST_ID
1,919390899,2023-01-07:10:08:04,1
2,3506537230,2023-01-02:01:58:41,1
3,3506539564,2023-01-03:20:49:06,1
4,3506541314,2023-01-08:10:09:13,1
5,3506566671,2023-01-05:06:06:09,1
6,919390899,2023-01-07:15:36:14,1
7,3506537230,2023-01-08:04:42:09,1
8,3506539564,2023-01-02:21:20:40,1
9,3506541314,2023-01-01:19:07:36,1
10,3506566671,2023-01-06:07:24:26,1
11,919390899,2023-01-15:12:23:02,1
12,3506537230,2023-01-15:19:34:01,1
13,3506539564,2023-01-09:19:48:57,1
14,3506541314,2023-01-09:02:43:50,1
15,3506566671,2023-01-15:03:48:06,1
16,919390899,2023-01-11:11:05:35,1
17,3506537230,2023-01-09:18:01:54,1
18,3506539564,2023-01-10:04:31:18,1
19,3506541314,2023-01-09:12:08:31,1
20,3506566671,2023-01-12:18:55:48,1
21,919390899,2023-01-18:17:30:05,1
22,3506537230,2023-01-17:02:23:16,1
23,3506539564,2023-01-16:12:47:48,1
24,3506541314,2023-01-16:17:10:00,1
25,3506566671,2023-01-21:05:36:20,1
26,919390899,2023-01-16:14:19:06,1
27,3506537230,2023-01-20:13:19:16,1
28,3506539564,2023-01-17:15:51:58,1
29,3506541314,2023-01-19:07:13:58,1
30,3506566671,2023-01-21:17:28:31,1
31,919390899,2023-01-31:20:25:13,1
32,3506537230,2023-01-27:10:29:14,1
33,3506539564,2023-01-24:09:56:46,1
34,3506541314,2023-01-24:18:07:20,1
35,3506566671,2023-01-23:17:10:45,1
36,919390899,2023-01-31:03:57:05,1
37,3506537230,2023-01-26:04:22:53,1
38,3506539564,2023-01-27:21:25:57,1
39,3506541314,2023-01-28:01:25:20,1
40,3506566671,2023-01-26:13:20:04,1
41,919390899,2023-02-06:06:39:41,1
42,3506537230,2023-02-03:06:43:38,1
43,3506539564,2023-02-01:19:04:17,1
44,3506541314,2023-02-04:22:15:04,1
45,3506566671,2023-02-05:03:29:41,1
46,919390899,2023-02-01:04:35:52,1
47,3506537230,2023-02-01:20:01:41,1
48,3506539564,2023-02-04:16:54:42,1
49,3506541314,2023-02-01:20:52:44,1
50,3506566671,2023-02-03:16:10:52,1
51,919390899,2023-02-01:08:44:19,1
52,3506537230,2023-02-06:00:54:27,1
53,3506539564,2023-02-01:00:36:56,1
54,3506541314,2023-02-05:08:03:03,1
55,3506566671,2023-02-05:13:06:45,1
56,919390899,2023-02-07:14:15:48,1
57,3506537230,2023-02-10:04:26:20,1
58,3506539564,2023-02-08:13:27:58,1
59,3506541314,2023-02-09:18:13:00,1
60,3506566671,2023-02-09:12:14:05,1
61,919390899,2023-02-14:21:17:29,1
62,3506537230,2023-02-14:08:31:26,1
63,3506539564,2023-02-15:19:47:46,1
64,3506541314,2023-02-15:15:26:10,1
65,3506566671,2023-02-17:07:08:11,1
66,919390899,2023-02-18:01:51:01,1
67,3506537230,2023-02-14:15:10:00,1
68,3506539564,2023-02-19:21:48:56,1
69,3506541314,2023-02-18:04:25:53,1
70,3506566671,2023-02-15:20:44:28,1
71,919390899,2023-02-26:17:31:02,1
72,3506537230,2023-02-28:21:32:35,1
73,3506539564,2023-02-23:18:12:05,1
74,3506541314,2023-02-25:14:58:33,1
75,3506566671,2023-02-27:16:08:36,1
76,919390899,2023-03-02:11:55:43,1
77,3506537230,2023-03-08:21:42:14,1
78,3506539564,2023-03-02:05:42:10,1
79,3506541314,2023-03-06:05:27:27,1
80,3506566671,2023-03-01:11:50:12,1
81,919390899,2023-03-14:15:59:09,1
82,3506537230,2023-03-14:11:52:13,1
83,3506539564,2023-03-10:07:08:46,1
84,3506541314,2023-03-15:00:43:40,1
85,3506566671,2023-03-11:04:51:39,1
86,919390899,2023-03-21:12:55:47,1
87,3506537230,2023-03-16:07:56:46,1
88,3506539564,2023-03-19:13:30:10,1
89,3506541314,2023-03-21:21:09:27,1
90,3506566671,2023-03-22:10:45:06,1
91,919390899,2023-03-25:01:44:07,1
92,3506537230,2023-03-24:01:21:50,1
93,3506539564,2023-03-26:06:00:33,1
94,3506541314,2023-03-31:08:21:52,1
95,3506566671,2023-03-24:10:25:52,1
96,919390899,2023-03-24:17:45:34,1
97,3506537230,2023-03-24:17:12:54,1
98,3506539564,2023-03-24:20:03:51,1
99,3506541314,2023-03-30:03:30:21,1
100,3506566671,2023-03-27:18:25:41,1
101,919390899,2023-04-04:18:37:27,1
102,3506537230,2023-04-06:06:38:03,1
103,3506539564,2023-04-02:14:14:29,1
104,3506541314,2023-04-06:14:20:26,1
105,3506566671,2023-04-05:10:10:11,1
106,919390899,2023-04-02:16:04:18,1
107,3506537230,2023-04-01:02:01:30,1
108,3506539564,2023-04-03:13:49:37,1
109,3506541314,2023-04-04:09:49:25,1
110,3506566671,2023-04-02:06:14:48,1
111,919390899,2023-04-06:00:32:01,1
112,3506537230,2023-04-07:15:34:12,1
113,3506539564,2023-04-01:10:36:13,1
114,3506541314,2023-04-04:08:00:55,1
115,3506566671,2023-04-01:23:43:49,1
116,919390899,2023-04-13:03:32:53,1
117,3506537230,2023-04-11:08:40:16,1
